"Package","VersionGA","VersionPreview","DisplayName","ServiceName","RepoPath","MSDocs","GHDocs","Type","Hide","Notes"
"azure-mgmt-servermanager","2.0.0","","Resource Management - Server Manager","Server Manager","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-servermanager_2.0.0/azure-mgmt-servermanager/","NA","","","",""
"azure-mgmt-servicebus","1.0.0","","Resource Management - Service Bus","Service Bus","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-servicebus_0.6.0/azure-mgmt-servicebus/","NA","","","",""
"azure-mgmt-servicefabric","0.5.0","","Resource Management - Service Fabric","Service Fabric","servicefabric","NA","","","",""
"azure-mgmt-signalr","0.4.0","","Resource Management - SignalR","SignalR","signalr","NA","","","",""
"azure-mgmt-sql","0.22.0","","Resource Management - SQL","SQL","sql","","","","",""
"azure-mgmt-sqlvirtualmachine","0.5.0","","Resource Management - SQL Virtual Machine","SQL","sql","NA","","","",""
"azure-mgmt-storagecache","0.3.0","","Resource Management - Storage Cache","Storage","storage","NA","","","",""
"azure-mgmt-storageimportexport","0.1.0","","Resource Management - Storage Import Export","Storage","storage","NA","","","",""
"azure-mgmt-storagesync","0.2.0","","Resource Management - Storage Sync","Storage","storage","NA","","","",""
"azure-mgmt-subscription","0.7.0","","Resource Management - Subscription","Subscription","subscription","NA","","","",""
"azure-mgmt-support","1.0.0","","Resource Management - Support","Support","support","NA","","","",""
"azure-mgmt-synapse","0.4.0","","Resource Management - Synapse","Synapse","synapse","","","","",""
"azure-mgmt-timeseriesinsights","0.2.0","","Resource Management - Time Series Insights","Time Series Insights","timeseriesinsights","NA","","","",""
"azure-mgmt-trafficmanager","0.51.0","","Resource Management - Traffic Manager","Traffic Manager","https://github.com/Azure/azure-sdk-for-python/tree/azure-mgmt-trafficmanager_0.51.0/azure-mgmt-trafficmanager","https://docs.microsoft.com/python/api/overview/azure/traffic-manager","","","",""
"azure-mgmt-vmwarecloudsimple","0.2.0","","Resource Management - VM Ware Cloud Simple","Compute","compute","NA","","","",""
"azure-mgmt-web","0.48.0","","Resource Management - Web","App Service","appservice","https://docs.microsoft.com/python/api/overview/azure/webapps","","","",""
"azureml-sdk","1.2.0","","Machine Learning","Machine Learning","NA","NA","NA","","",""
"azure-monitor","0.3.1","","Monitor","Monitor","https://github.com/Azure/azure-sdk-for-python/tree/azure-monitor_0.3.1/azure-monitor/","NA","NA","","",""
"azure-nspkg","3.0.2","","Namespace Package","core","https://github.com/Azure/azure-sdk-for-python/tree/azure-nspkg_3.0.2/azure-nspkg/","NA","NA","","",""
"azure-search","","1.0.0b1","Search","Search","search","NA","","","","Replaced by: azure-search-documents"
"azure-search-nspkg","1.0.0","","Search Namespace Package","Search","search","NA","NA","","",""
"azure-servicefabric","7.1.0.45","","Service Fabric","Service Fabric","servicefabric","NA","","","",""
